Amount Debited,Source / Destination,Date
7.1,POPEYES 11615,2022/09/09
41.56,WALMART STORE 3054,2022/09/12
122.29,RCSS 1080,2022/09/12
11.52,Subway 13326,2022/09/13
2.92,TIM HORTONS 2987,2022/09/13
40.25,WALMART STORE 3054,2022/09/13
79.35,KID TO KID,2022/09/13
34.37,METRO  854,2022/09/15
136.72,RCSS 1080,2022/09/15
27.66,CDN TIRE STORE 00169,2022/09/17
47.98,ESSO CIRCLE K,2022/09/18
158.07999999999998,RCSS 1080,2022/09/18
5.0,AIR SERV V PS606646,2022/09/18
18.34,PIZZA NOVA 065,2022/09/22
84.07,RCSS 1080,2022/09/22
48.22,ESSO CIRCLE K,2022/09/23
14.22,POPEYES 11615,2022/09/23
52.03,STAPLES227,2022/09/24
43.46,NOFRILLS TOMMICHELLES ,2022/09/25
55.0,DR JULIE COSTANZA,2022/09/26
1.59,METRO  854,2022/09/27
45.0,TOTAL HEALTH  FAMILY CAR,2022/09/27
29.24,DANFORTH FOOD MARKET,2022/09/27
50.0,DR JULIE COSTANZA,2022/09/27
25.14,MINHA HALAL MEAT,2022/09/28
49.75,RCSS 1080,2022/09/28
50.84,BEST BUY 622,2022/10/01
31.08,BATH AND BODY WORKS 6,2022/10/01
17.85,3665 CARTERSOSHKOSH,2022/10/01
48.23,ESSO CIRCLE K,2022/10/01
45.02,RCSS 1080,2022/10/02
113.16,LONGOS  2,2022/10/02
22.59,RCSS W CHURCHILL TMS 1,2022/10/02
39.52,WALMART STORE 1211,2022/10/04
14.67,MARSHALLS 661,2022/10/04
45.0,TOTAL HEALTH  FAMILY CAR,2022/10/05
12.98,OSMOWS,2022/10/05
6.5,DOLLARAMA  840,2022/10/06
20.25,MINHA HALAL MEAT,2022/10/06
13.53,TOYS R US 3575,2022/10/06
7.22,BULK BARN 545 MISSISSA,2022/10/06
11.18,Subway 23972,2022/10/06
172.76,RCSS 1080,2022/10/06
3.13,TIM HORTONS 1713,2022/10/06
